"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Moosa\Desktop\FYP\back-end\config\db.js", "JavaScript", 0, 12, 5, 3, 20
"c:\Users\Moosa\Desktop\FYP\back-end\index.js", "JavaScript", 0, 82, 58, 27, 167
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\admin.js", "JavaScript", 0, 5, 0, 2, 7
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\asyncMiddleware.js", "JavaScript", 0, 9, 0, 1, 10
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\auth.js", "JavaScript", 0, 21, 2, 6, 29
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\decodeToken.js", "JavaScript", 0, 30, 0, 3, 33
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\errors.js", "JavaScript", 0, 4, 6, 2, 12
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\faculty.js", "JavaScript", 0, 5, 0, 2, 7
"c:\Users\Moosa\Desktop\FYP\back-end\middlewares\upload.js", "JavaScript", 0, 145, 6, 13, 164
"c:\Users\Moosa\Desktop\FYP\back-end\models\Announcement.js", "JavaScript", 0, 60, 1, 7, 68
"c:\Users\Moosa\Desktop\FYP\back-end\models\Answer.js", "JavaScript", 0, 20, 1, 4, 25
"c:\Users\Moosa\Desktop\FYP\back-end\models\Assignment.js", "JavaScript", 0, 114, 3, 9, 126
"c:\Users\Moosa\Desktop\FYP\back-end\models\AssignmentSubmission.js", "JavaScript", 0, 71, 0, 6, 77
"c:\Users\Moosa\Desktop\FYP\back-end\models\AssignmentTwo.js", "JavaScript", 0, 79, 0, 6, 85
"c:\Users\Moosa\Desktop\FYP\back-end\models\Attendance.js", "JavaScript", 0, 48, 3, 5, 56
"c:\Users\Moosa\Desktop\FYP\back-end\models\Channel.js", "JavaScript", 0, 30, 0, 7, 37
"c:\Users\Moosa\Desktop\FYP\back-end\models\Class.js", "JavaScript", 0, 154, 8, 7, 169
"c:\Users\Moosa\Desktop\FYP\back-end\models\Comment.js", "JavaScript", 0, 66, 0, 9, 75
"c:\Users\Moosa\Desktop\FYP\back-end\models\Course.js", "JavaScript", 0, 59, 1, 9, 69
"c:\Users\Moosa\Desktop\FYP\back-end\models\Notification.js", "JavaScript", 0, 109, 26, 24, 159
"c:\Users\Moosa\Desktop\FYP\back-end\models\Program.js", "JavaScript", 0, 75, 0, 4, 79
"c:\Users\Moosa\Desktop\FYP\back-end\models\Question.js", "JavaScript", 0, 49, 5, 5, 59
"c:\Users\Moosa\Desktop\FYP\back-end\models\Quiz.js", "JavaScript", 0, 105, 1, 6, 112
"c:\Users\Moosa\Desktop\FYP\back-end\models\QuizSubmission.js", "JavaScript", 0, 79, 0, 5, 84
"c:\Users\Moosa\Desktop\FYP\back-end\models\Reply.js", "JavaScript", 0, 59, 0, 8, 67
"c:\Users\Moosa\Desktop\FYP\back-end\models\Resource.js", "JavaScript", 0, 61, 36, 10, 107
"c:\Users\Moosa\Desktop\FYP\back-end\models\Semester.js", "JavaScript", 0, 43, 0, 6, 49
"c:\Users\Moosa\Desktop\FYP\back-end\models\Submission.js", "JavaScript", 0, 156, 2, 8, 166
"c:\Users\Moosa\Desktop\FYP\back-end\models\Thread.js", "JavaScript", 0, 91, 1, 9, 101
"c:\Users\Moosa\Desktop\FYP\back-end\models\User.js", "JavaScript", 0, 145, 12, 9, 166
"c:\Users\Moosa\Desktop\FYP\back-end\models\test.js", "JavaScript", 0, 11, 0, 3, 14
"c:\Users\Moosa\Desktop\FYP\back-end\package-lock.json", "JSON", 3483, 0, 0, 1, 3484
"c:\Users\Moosa\Desktop\FYP\back-end\package.json", "JSON", 51, 0, 0, 1, 52
"c:\Users\Moosa\Desktop\FYP\back-end\routes\admin.js", "JavaScript", 0, 13, 0, 3, 16
"c:\Users\Moosa\Desktop\FYP\back-end\routes\announcement.js", "JavaScript", 0, 12, 1, 5, 18
"c:\Users\Moosa\Desktop\FYP\back-end\routes\answer.js", "JavaScript", 0, 8, 0, 2, 10
"c:\Users\Moosa\Desktop\FYP\back-end\routes\assignment.js", "JavaScript", 0, 8, 1, 3, 12
"c:\Users\Moosa\Desktop\FYP\back-end\routes\assignmentTwo.js", "JavaScript", 0, 18, 0, 8, 26
